id,route,name,pattern,purpose,primary_entity,primary_actions,secondary_actions,empty,loading,error,forbidden,overflow,source,confidence
home,/,Homepage,list-grid,Merchandise catalog via rails,Book,browse rails;search,open category menu,n/a curated,full-page cache,n/a,n/a,rails capped,observed,observed
library,/thu-vien-sach/,Library (all books),list-grid,Full catalog with filters,Book,browse;filter;paginate,sort,"""no books"" (n/a)",server render,inline,n/a,pagination,inferred,inferred
category,/danh-muc-sach/{cat}/,Category archive,list-grid,Books in a specialty,Category,browse;filter,drill subcategory,empty category note,server render,inline,n/a,pagination,inferred,inferred
author,pa_tac-gia/{author}/,Author archive,list-grid,Books by an author,Author,browse,filter,empty,server render,inline,n/a,pagination,inferred,inferred
search,/?s= (header),Search results,list-grid,Keyword catalog search,Book,search;refine,filter,"""no results"" copy",server render,inline,n/a,pagination,observed(box),inferred
book,/sach/{slug}/,Book detail,product-detail,View book + download CTA,Book,download(Tải sách);share,quick-view related;rate,n/a,server+ajax widgets,widget load error seen,download→login modal (login-gated only),related capped,observed,observed
quickview,(modal),Quick view,modal-overlay,Peek a book without leaving,Book,view;go to detail,download,n/a,ajax,ajax error,download→login modal,n/a,inferred,inferred
login,(modal /my-account),Login,modal-overlay,Authenticate (username + password),User,login,go register;forgot password,n/a,inline,inline field error,n/a,n/a,observed,observed
register,(modal),Register,modal-overlay,Create account (username + password),User,submit,go login,n/a,inline,inline error,n/a,n/a,inferred,inferred
pwreset,(lost password),Password reset,form,Recover access,User,request reset,,n/a,inline,inline error,n/a,n/a,guessed,guessed
account,/my-account/,Account dashboard,account-dashboard,Member home + nav,User,go to my library;edit details,logout,new member state,server render,inline,shown only to member,n/a,inferred,inferred
acc-downloads,/my-account/downloads/,My library,account-dashboard,Re-download books I've downloaded,Download,download;search,filter,"""no downloads yet""",server render,inline,members only (all books),pagination,inferred,inferred
acc-details,/my-account/edit-account/,Account details,form,Edit profile/password,User,save,change email,n/a,inline,inline validation,members only,n/a,inferred,inferred
acc-requests,/my-account/(requests),Book requests,account-dashboard,Submit/track book requests (Later),BookRequest,submit;track,cancel,"""no requests""",server render,inline,members only,pagination,inferred,inferred
courses,(courses index),Courses catalog,list-grid,Browse video courses (Later),Course,browse,filter,unknown,unknown,unknown,n/a,unknown,inferred,inferred
course,(course detail),Course detail,product-detail,View/play a course (Later),Course,play,share,unknown,unknown,unknown,play gated to member,n/a,inferred,inferred
blog-index,/tin-tuc/ /blog/,News index,list-grid,List articles,Post,read;filter cat,,empty,cache,inline,n/a,pagination,inferred,inferred
blog-cat,/tin-tuc/{cat}/,News category,list-grid,Articles in a topic,Post,read,,empty,cache,inline,n/a,pagination,inferred,inferred
blog-post,/{post}/,Article,article,Read one article,Post,read;share,related,n/a,cache,n/a,n/a,n/a,inferred,inferred
about,/gioi-thieu/,About,article,Brand/trust content,Page,read,contact,n/a,cache,n/a,n/a,n/a,inferred,inferred
contact,/lien-he/,Contact,form,Send a message,Page,submit(CF7),,n/a,inline,inline validation,n/a,n/a,inferred,inferred
terms,/dieu-kien-va-chinh-sach/,Terms & policy,article,Legal,Page,read,,n/a,cache,n/a,n/a,n/a,inferred,inferred
privacy,/privacy-policy/,Privacy policy,article,Legal,Page,read,,n/a,cache,n/a,n/a,n/a,inferred,inferred
guide-download,(Hướng dẫn tải sách),Download guide,article,How to download,Page,read,,n/a,cache,n/a,n/a,n/a,inferred,inferred
